fl16y,assoc,class_5FGL,class_Firmamiento,class_Paliya,class_Foschini
FL16Y J0001.5-0010,FBQS J0001-0011,bll,bll,rdg,None
FL16Y J0001.6+2113,TXS 2358+209,fsrq,bcu,None,nls1
FL16Y J0009.6-3217,IC 1531,rdg,bcu,rdg,mis
FL16Y J0013.6+4050,4C +40.01,agn,bcu,rdg,mis
FL16Y J0014.2+0852,MS 0011.7+0837,bll,bcu,rdg,clagn
FL16Y J0014.3-0459,GALEXASC J001420.46-045929.1,bcu,bcu,None,fsrq
FL16Y J0019.4+2606,4C +25.01,fsrq,fsrq,rdg,None
FL16Y J0024.1-6819,PKS 0021-686,fsrq,bcu,None,mis
FL16Y J0028.9-0112,PKS 0026-014,bll,bcu,None,sey
FL16Y J0036.8+1834,CRATES J003659.39+183203.7,bcu,bcu,None,fsrq
FL16Y J0037.4+2614,WISE J003719.15+261312.6,bll,bcu,rdg,fsrq
FL16Y J0038.8-0144,3C 17,rdg,None,rdg,mis
FL16Y J0041.3+3210,TXS 0038+319,bcu,bcu,None,fsrq
FL16Y J0041.4+3800,B3 0038+377,fsrq,bll,None,fsrq
FL16Y J0043.6+2223,TXS 0040+221,bcu,bcu,None,bll
FL16Y J0049.0+2253,CRATES J004901.37+225315.4,bll,bcu,None,mis
FL16Y J0049.5-4458,PMN J0049-4457,fsrq,bcu,None,sey
FL16Y J0053.4-6645,PMN J0052-6641,bll,bll,None,mis
FL16Y J0056.3-0936,TXS 0053-098,bll,bcu,None,mis
FL16Y J0056.8-3938,NVSS J005620-394144,bll,bcu,None,amb
FL16Y J0057.4+2218,87GB 005452.5+220227,bcu,bcu,None,bll
FL16Y J0057.7+3024,NGC 315,rdg,bcu,rdg,mis
FL16Y J0102.4+4215,GB6 J0102+4214,fsrq,fsrq,None,nls1
FL16Y J0109.2+2400,GB6 J0109+2400,bcu,bcu,None,bll
FL16Y J0115.0+2621,1RXS J011451.8+262337,bcu,bcu,None,bll
FL16Y J0119.8+4200,2MASX J01200274+4200139,bll,bcu,rdg,bll
FL16Y J0127.9+4857,GB6 J0128+4901,bll,bcu,None,amb
FL16Y J0129.7+3437,TXS 0126+343,bll,bcu,None,amb
FL16Y J0130.5+1843,MG1 J013030+1843,bcu,bcu,None,bll
FL16Y J0132.7-0804,PKS 0130-083,fsrq,bll,None,sey
FL16Y J0133.1+4322,B3 0129+431,bcu,bcu,None,bll
FL16Y J0134.5+2638,RX J0134.4+2638,bll,bll,None,clagn
FL16Y J0145.8+2320,TXS 0143+230,bcu,bcu,None,bll
FL16Y J0151.1+0540,PMN J0151+0540,bcu,bcu,None,bll
FL16Y J0154.1-0234,TXS 0151-028,fsrq,bcu,None,bll
FL16Y J0156.0+1503,RX J0156.0+1502,bcu,bcu,None,bll
FL16Y J0158.8+0102,GB6 J0158+0101,fsrq,bcu,None,bll
FL16Y J0203.7+3042,NVSS J020344+304238,bll,bll,None,fsrq
FL16Y J0204.3+2416,B2 0201+24,bll,bll,rdg,bll
FL16Y J0204.8+1514,4C +15.05,bcu,bcu,None,fsrq
FL16Y J0206.1-0957,2MASS J02061590-0957174,fsrq,bll,None,None
FL16Y J0210.0+7229,S5 0205+722,bll,bcu,None,fsrq
FL16Y J0216.0+0259,PMN J0215+0300,bcu,bcu,None,bll
FL16Y J0216.9+0510,NVSS J021655+051018,bcu,bcu,None,bll
FL16Y J0217.0-0820,PKS 0214-085,fsrq,bcu,None,amb
FL16Y J0217.8+0144,PKS 0215+015,fsrq,fsrq,None,clagn
FL16Y J0223.5-0926,PMN J0223-0925,bcu,bcu,None,fsrq
FL16Y J0224.4+0700,PKS 0221+067,fsrq,fsrq,None,nls1
FL16Y J0226.3-1846,PKS 0224-189,bcu,bcu,None,fsrq
FL16Y J0244.5+1316,GB6 J0244+1320,bcu,bcu,None,fsrq
FL16Y J0305.1-1608,PKS 0302-16,bll,bll,rdg,bll
FL16Y J0307.7-0419,LEDA 095522,fsrq,bcu,None,bll
FL16Y J0308.4+0407,NGC 1218,rdg,bcu,rdg,mis
FL16Y J0309.2-4002,PKS 0307-402,bll,bcu,rdg,bll
FL16Y J0310.9+3816,B3 0307+380,fsrq,fsrq,None,sey
FL16Y J0312.9+4118,B3 0309+411B,rdg,bcu,None,mis
FL16Y J0313.1+0228,TXS 0310+022,bcu,bcu,None,fsrq
FL16Y J0316.8+4120,IC 310,rdg,bcu,rdg,mis
FL16Y J0317.5-2802,PKS 0315-282,fsrq,fsrq,None,amb
FL16Y J0317.9-4414,PKS 0316-444,fsrq,bcu,None,mis
FL16Y J0319.8+4130,NGC 1275,rdg,bcu,None,mis
FL16Y J0324.9+3412,1H 0323+342,nlsy1,None,None,nls1
FL16Y J0327.6-1808,CRATES J032743.34-180342.0,bcu,bcu,None,fsrq
FL16Y J0331.0-5239,PGC 013066,bcu,bcu,None,mis
FL16Y J0334.3+3920,4C +39.12,rdg,bcu,rdg,mis
FL16Y J0339.2-1735,PKS 0336-177,bll,bll,None,mis
FL16Y J0349.3-1159,1ES 0347-121,bll,bll,None,amb
FL16Y J0350.7-3230,PKS 0348-326,bcu,bcu,None,fsrq
FL16Y J0353.0-6831,PKS 0352-686,bll,bll,None,mis
FL16Y J0401.2+0412,MG1 J040119+0412,bcu,bcu,None,bll
